               50.00     6.145   233.572     9.223    90.000
               75.00     7.039   240.263     9.687    89.000
              100.00     7.553   246.943     9.990    87.000
              125.00     7.784   252.167    10.119    86.000
              150.00     7.833   255.136     9.979    86.000
              175.00     7.838   255.863     9.876    86.000
              206.25     7.834   256.769     9.689    85.000
              250.00     7.773   257.275     9.376    84.000
              300.00     7.650   257.261     9.052    83.000
              350.00     7.456   256.683     8.649    82.000
              400.00     7.295   255.690     8.308    80.000
              450.00     7.177   254.585     8.022    80.000
              512.50     7.039   252.577     7.597    79.000
              600.00     6.942   249.304     6.962    79.000
              700.00     6.941   246.056     6.252    81.000
              800.00     7.039   243.201     5.532    84.000
              900.00     7.246   240.420     4.780    87.000
             1100.00     7.885   235.144     3.401    92.000
             1500.00     7.942   236.295     2.245    79.000
             2000.00     7.018   242.417     1.322    56.000
             2500.00     7.103   246.399    -0.714    41.000
             3000.00     7.557   252.775    -3.048    28.000
             3500.00     8.426   259.226    -5.810    22.000
             4000.00     8.682   262.318    -9.045    43.000
             4500.00     9.810   269.306   -12.282    58.000
             5000.00    11.226   273.779   -14.732    63.000
2022070106   153.165     0.000 10011.869   197.677     0.000     7.411    21.444   0.29737   0.15000     5.000  -263.572     0.367
                2.00                        10.267    87.709    -0.249
               10.00     3.127   229.391
               18.75     3.510   230.003    10.018    87.000
               50.00     4.689   231.564     9.807    87.000
               75.00     5.437   232.057     9.631    87.000
              100.00     5.999   233.097     9.531    88.000
              125.00     6.524   234.926     9.552    87.000
              150.00     7.248   238.740     9.565    87.000
              175.00     7.538   240.828     9.559    86.000
              206.25     7.987   244.062     9.530    86.000
              250.00     8.417   247.756     9.349    85.000
              300.00     8.502   249.407     9.049    84.000
              350.00     8.341   249.651     8.635    83.000
              400.00     8.153   249.438     8.282    82.000
              450.00     7.995   249.108     7.977    81.000
              512.50     7.780   248.403     7.514    80.000
              600.00     7.578   247.173     6.822    80.000
              700.00     7.501   246.173     6.049    83.000
              800.00     7.515   245.575     5.275    86.000
              900.00     7.587   245.073     4.486    89.000
             1100.00     8.082   243.494     3.049    94.000
             1500.00     8.958   244.390     2.253    77.000
             2000.00     8.314   246.672     1.771    49.000
             2500.00     7.683   245.767    -0.548    37.000
             3000.00     7.870   247.142    -3.150    27.000
             3500.00     8.873   250.810    -5.946    24.000
